instance_id,repo,pr_number,pr_url,source,author_type,agent_name,agent_tool,task_type,language,outcome,sample_split,created_at,changed_file_count,commit_count,comment_count,review_count,artifact_completeness,eligibility,eligibility_reason,size_tercile,sampling_weight
pop_BoundaryML_baml_2106,BoundaryML/baml,2106,https://github.com/BoundaryML/baml/pull/2106,aidev_curated_export,ai_authored,cursor,Cursor,unknown,Rust,merged,test,2025-07-04T01:24:22Z,2,1,1,1,metadata_text_counts,eligible,eligible,small,24.934426
pop_Brooooooklyn_canvas_1067,Brooooooklyn/canvas,1067,https://github.com/Brooooooklyn/canvas/pull/1067,aidev_curated_export,ai_authored,cursor,Cursor,unknown,Rust,merged,test,2025-06-08T13:31:29Z,8,2,0,0,metadata_text_counts,eligible,eligible,large,24.934426
pop_Cap-go_capgo_1050,Cap-go/capgo,1050,https://github.com/Cap-go/capgo/pull/1050,aidev_curated_export,ai_authored,devin,Devin,unknown,TypeScript,closed_unmerged,test,2025-03-12T15:39:53Z,36,11,7,0,metadata_text_counts,eligible,eligible,large,54.440476
pop_CitizensFoundation_your-priorities-app_238,CitizensFoundation/your-priorities-app,238,https://github.com/CitizensFoundation/your-priorities-app/pull/238,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,HTML,merged,test,2025-05-30T17:02:07Z,1,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_Codehagen_Badget_297,Codehagen/Badget,297,https://github.com/Codehagen/Badget/pull/297,aidev_curated_export,ai_authored,cursor,Cursor,unknown,TypeScript,open,test,2025-07-03T09:57:34Z,10,5,1,2,metadata_text_counts,eligible,eligible,large,24.934426
pop_DannyMac180_meta-agent_15,DannyMac180/meta-agent,15,https://github.com/DannyMac180/meta-agent/pull/15,aidev_curated_export,ai_authored,codex,Devin,unknown,Python,merged,test,2025-04-04T00:36:18Z,2,1,1,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_DannyMac180_meta-agent_150,DannyMac180/meta-agent,150,https://github.com/DannyMac180/meta-agent/pull/150,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,closed_unmerged,test,2025-06-04T01:17:55Z,3,1,0,0,metadata_text_counts,eligible,eligible,medium,102.841860
pop_DannyMac180_meta-agent_183,DannyMac180/meta-agent,183,https://github.com/DannyMac180/meta-agent/pull/183,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-06-10T15:43:15Z,6,1,0,0,metadata_text_counts,eligible,eligible,medium,102.841860
pop_DannyMac180_meta-agent_39,DannyMac180/meta-agent,39,https://github.com/DannyMac180/meta-agent/pull/39,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-05-22T01:41:05Z,2,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_DannyMac180_meta-agent_60,DannyMac180/meta-agent,60,https://github.com/DannyMac180/meta-agent/pull/60,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-05-24T02:14:56Z,3,1,0,0,metadata_text_counts,eligible,eligible,medium,102.841860
pop_DannyMac180_meta-agent_75,DannyMac180/meta-agent,75,https://github.com/DannyMac180/meta-agent/pull/75,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-05-25T15:59:56Z,3,1,0,0,metadata_text_counts,eligible,eligible,medium,102.841860
pop_Deepractice_PromptX_121,Deepractice/PromptX,121,https://github.com/Deepractice/PromptX/pull/121,aidev_curated_export,ai_authored,claude_code,Claude_Code,unknown,JavaScript,merged,test,2025-07-05T14:04:42Z,1,1,0,0,metadata_text_counts,eligible,eligible,small,9.537037
pop_Deepractice_PromptX_179,Deepractice/PromptX,179,https://github.com/Deepractice/PromptX/pull/179,aidev_curated_export,ai_authored,claude_code,Claude_Code,unknown,JavaScript,closed_unmerged,test,2025-07-13T12:39:48Z,177,30,1,0,metadata_text_counts,eligible,eligible,large,9.537037
pop_DragonJAR_n8n-workflows-es_3,DragonJAR/n8n-workflows-es,3,https://github.com/DragonJAR/n8n-workflows-es/pull/3,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,unknown,merged,test,2025-07-22T17:06:45Z,1,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_Effect-TS_effect-smol_228,Effect-TS/effect-smol,228,https://github.com/Effect-TS/effect-smol/pull/228,aidev_curated_export,ai_authored,claude_code,Claude_Code,unknown,TypeScript,merged,test,2025-07-04T23:23:08Z,63,10,2,0,metadata_text_counts,eligible,eligible,large,9.537037
pop_EricLBuehler_mistral.rs_1414,EricLBuehler/mistral.rs,1414,https://github.com/EricLBuehler/mistral.rs/pull/1414,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Rust,merged,test,2025-06-03T03:01:45Z,3,5,2,1,metadata_text_counts,eligible,eligible,medium,102.841860
pop_EvotecIT_Mailozaurr_69,EvotecIT/Mailozaurr,69,https://github.com/EvotecIT/Mailozaurr/pull/69,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,C#,merged,test,2025-06-06T11:42:39Z,1,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_FinAegis_core-banking-prototype-laravel_31,FinAegis/core-banking-prototype-laravel,31,https://github.com/FinAegis/core-banking-prototype-laravel/pull/31,aidev_curated_export,ai_authored,claude_code,Claude_Code,unknown,PHP,merged,test,2025-06-18T12:55:34Z,29,5,0,0,metadata_text_counts,eligible,eligible,large,9.537037
pop_GlareDB_glaredb_3949,GlareDB/glaredb,3949,https://github.com/GlareDB/glaredb/pull/3949,aidev_curated_export,ai_authored,devin,Devin,unknown,Rust,merged,test,2025-06-20T19:22:23Z,4,4,1,0,metadata_text_counts,eligible,eligible,medium,54.440476
pop_Intelligent-Internet_ii-agent_90,Intelligent-Internet/ii-agent,90,https://github.com/Intelligent-Internet/ii-agent/pull/90,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,closed_unmerged,test,2025-06-06T15:19:26Z,25,14,0,0,metadata_text_counts,eligible,eligible,large,102.841860
pop_JMBeresford_retrom_310,JMBeresford/retrom,310,https://github.com/JMBeresford/retrom/pull/310,aidev_curated_export,ai_authored,copilot,Copilot,unknown,TypeScript,merged,test,2025-05-23T01:07:35Z,143,26,13,19,metadata_text_counts,eligible,eligible,large,56.697674
pop_JonasKruckenberg_k23_480,JonasKruckenberg/k23,480,https://github.com/JonasKruckenberg/k23/pull/480,aidev_curated_export,ai_authored,claude_code,Claude_Code,unknown,Rust,merged,test,2025-06-18T03:16:42Z,1,3,0,1,metadata_text_counts,eligible,eligible,small,9.537037
pop_KittyCAD_modeling-app_7037,KittyCAD/modeling-app,7037,https://github.com/KittyCAD/modeling-app/pull/7037,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,TypeScript,open,test,2025-05-17T02:53:58Z,2,1,1,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_MaiM-with-u_MaiBot_195,MaiM-with-u/MaiBot,195,https://github.com/MaiM-with-u/MaiBot/pull/195,aidev_curated_export,ai_authored,claude_code,Claude_Code,unknown,Python,closed_unmerged,test,2025-03-11T08:41:22Z,3,1,4,1,metadata_text_counts,eligible,eligible,medium,9.537037
pop_Mail-0_Zero_1665,Mail-0/Zero,1665,https://github.com/Mail-0/Zero/pull/1665,aidev_curated_export,ai_authored,devin,Devin,unknown,TypeScript,closed_unmerged,test,2025-07-07T20:25:06Z,1,1,2,0,metadata_text_counts,eligible,eligible,small,54.440476
pop_MihaiCristianCondrea_Smart-Cleaner-for-Android_169,MihaiCristianCondrea/Smart-Cleaner-for-Android,169,https://github.com/MihaiCristianCondrea/Smart-Cleaner-for-Android/pull/169,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Kotlin,merged,test,2025-07-12T19:07:14Z,5,3,0,0,metadata_text_counts,eligible,eligible,medium,102.841860
pop_MihaiCristianCondrea_Smart-Cleaner-for-Android_210,MihaiCristianCondrea/Smart-Cleaner-for-Android,210,https://github.com/MihaiCristianCondrea/Smart-Cleaner-for-Android/pull/210,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Kotlin,merged,test,2025-07-20T08:08:01Z,27,2,0,0,metadata_text_counts,eligible,eligible,large,102.841860
pop_MihaiCristianCondrea_Smart-Cleaner-for-Android_69,MihaiCristianCondrea/Smart-Cleaner-for-Android,69,https://github.com/MihaiCristianCondrea/Smart-Cleaner-for-Android/pull/69,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Kotlin,merged,test,2025-07-02T10:48:56Z,2,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_1249,MontrealAI/AGI-Alpha-Agent-v0,1249,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1249,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-05-31T03:09:57Z,14,1,0,0,metadata_text_counts,eligible,eligible,large,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_1542,MontrealAI/AGI-Alpha-Agent-v0,1542,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1542,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-06-04T14:58:44Z,1,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_1579,MontrealAI/AGI-Alpha-Agent-v0,1579,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1579,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-06-05T04:44:46Z,2,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_1679,MontrealAI/AGI-Alpha-Agent-v0,1679,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1679,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-06-06T13:29:02Z,2,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_1848,MontrealAI/AGI-Alpha-Agent-v0,1848,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1848,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-06-08T12:25:40Z,3,1,0,0,metadata_text_counts,eligible,eligible,medium,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_1864,MontrealAI/AGI-Alpha-Agent-v0,1864,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1864,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-06-08T14:01:30Z,1,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_1937,MontrealAI/AGI-Alpha-Agent-v0,1937,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1937,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-06-09T19:19:23Z,1,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_2154,MontrealAI/AGI-Alpha-Agent-v0,2154,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2154,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-06-14T16:28:37Z,2,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_2176,MontrealAI/AGI-Alpha-Agent-v0,2176,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2176,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-06-14T22:03:32Z,1,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_2360,MontrealAI/AGI-Alpha-Agent-v0,2360,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2360,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-06-19T04:17:26Z,2,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_2405,MontrealAI/AGI-Alpha-Agent-v0,2405,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2405,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-06-20T03:19:32Z,8,1,0,0,metadata_text_counts,eligible,eligible,large,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_2581,MontrealAI/AGI-Alpha-Agent-v0,2581,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2581,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-06-25T12:11:25Z,1,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_2611,MontrealAI/AGI-Alpha-Agent-v0,2611,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2611,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-06-25T23:47:05Z,1,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_2693,MontrealAI/AGI-Alpha-Agent-v0,2693,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2693,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-06-28T02:00:52Z,2,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_2749,MontrealAI/AGI-Alpha-Agent-v0,2749,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2749,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-06-29T12:25:46Z,1,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_2844,MontrealAI/AGI-Alpha-Agent-v0,2844,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2844,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,open,test,2025-07-01T15:03:08Z,23,1,0,0,metadata_text_counts,eligible,eligible,large,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_2913,MontrealAI/AGI-Alpha-Agent-v0,2913,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2913,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-07-03T20:48:39Z,5,1,0,0,metadata_text_counts,eligible,eligible,medium,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_293,MontrealAI/AGI-Alpha-Agent-v0,293,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/293,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-05-18T17:35:11Z,2,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_2939,MontrealAI/AGI-Alpha-Agent-v0,2939,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2939,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-07-04T14:49:45Z,1,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_2972,MontrealAI/AGI-Alpha-Agent-v0,2972,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2972,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-07-05T01:34:24Z,3,1,0,0,metadata_text_counts,eligible,eligible,medium,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_3029,MontrealAI/AGI-Alpha-Agent-v0,3029,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3029,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-07-06T15:01:14Z,2,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_3062,MontrealAI/AGI-Alpha-Agent-v0,3062,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3062,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-07-07T02:27:37Z,2,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_3212,MontrealAI/AGI-Alpha-Agent-v0,3212,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3212,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-07-11T13:45:33Z,2,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_3291,MontrealAI/AGI-Alpha-Agent-v0,3291,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3291,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-07-13T14:18:50Z,1,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_3303,MontrealAI/AGI-Alpha-Agent-v0,3303,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3303,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-07-13T17:49:57Z,1,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_3376,MontrealAI/AGI-Alpha-Agent-v0,3376,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3376,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-07-15T14:37:20Z,1,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_3431,MontrealAI/AGI-Alpha-Agent-v0,3431,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3431,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-07-16T14:53:00Z,1,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_3532,MontrealAI/AGI-Alpha-Agent-v0,3532,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3532,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-07-18T23:08:04Z,4,1,0,0,metadata_text_counts,eligible,eligible,medium,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_372,MontrealAI/AGI-Alpha-Agent-v0,372,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/372,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-05-19T15:38:24Z,2,2,0,1,metadata_text_counts,eligible,eligible,small,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_390,MontrealAI/AGI-Alpha-Agent-v0,390,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/390,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-05-19T21:04:03Z,3,2,0,1,metadata_text_counts,eligible,eligible,medium,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_60,MontrealAI/AGI-Alpha-Agent-v0,60,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/60,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-05-17T14:33:56Z,3,1,0,0,metadata_text_counts,eligible,eligible,medium,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_655,MontrealAI/AGI-Alpha-Agent-v0,655,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/655,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-05-23T22:31:31Z,1,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_763,MontrealAI/AGI-Alpha-Agent-v0,763,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/763,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-05-24T23:23:58Z,9,1,0,0,metadata_text_counts,eligible,eligible,large,102.841860
pop_MontrealAI_AGI-Alpha-Agent-v0_855,MontrealAI/AGI-Alpha-Agent-v0,855,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/855,aidev_curated_export,ai_authored,codex,OpenAI_Codex,unknown,Python,merged,test,2025-05-25T17:50:43Z,1,1,0,0,metadata_text_counts,eligible,eligible,small,102.841860
pop_Mooncake-Labs_pg_mooncake_152,Mooncake-Labs/pg_mooncake,152,https://github.com/Mooncake-Labs/pg_mooncake/pull/152,aidev_curated_export,ai_authored,devin,Devin,unknown,Rust,closed_unmerged,test,2025-06-04T19:14:08Z,31,5,1,0,metadata_text_counts,eligible,eligible,large,54.440476
pop_Myriad-Dreamin_tinymist_1887,Myriad-Dreamin/tinymist,1887,https://github.com/Myriad-Dreamin/tinymist/pull/1887,aidev_curated_export,ai_authored,copilot,Copilot,unknown,Rust,merged,test,2025-07-09T05:32:41Z,1,2,0,1,metadata_text_counts,eligible,eligible,small,56.697674
pop_NangoHQ_nango_3703,NangoHQ/nango,3703,https://github.com/NangoHQ/nango/pull/3703,aidev_curated_export,ai_authored,devin,Devin,unknown,TypeScript,merged,test,2025-03-14T14:30:09Z,301,7,6,4,metadata_text_counts,eligible,eligible,large,54.440476
pop_NethermindEth_nethermind_8910,NethermindEth/nethermind,8910,https://github.com/NethermindEth/nethermind/pull/8910,aidev_curated_export,ai_authored,copilot,Copilot,unknown,C#,closed_unmerged,test,2025-07-01T20:51:35Z,5,3,0,0,metadata_text_counts,eligible,eligible,medium,56.697674
pop_OWASP-BLT_BLT_4255,OWASP-BLT/BLT,4255,https://github.com/OWASP-BLT/BLT/pull/4255,aidev_curated_export,ai_authored,copilot,Copilot,unknown,HTML,closed_unmerged,test,2025-05-20T02:29:47Z,0,1,0,0,metadata_text_counts,eligible,eligible,small,56.697674
